EpochSeconds	Games	
1428026400	1781309591,1781328988,1781371931,1781376633,1781376923,1781377049,1781377410,1781377455,1781377748,1781377768,1781377928,1781378057,1781378137,1781378253,1781378283,1781378408,1781378750,1781378955,1781378972,1781379342,1781379416,1781379475,1781379558,1781379724,1781329082,1781374187,1781375211,1781375502,1781375868,1781376011,1781376128,1781376652,1781376661,1781376986,1781377109,1781377351,1781377372,1781377473,1781377947,1781378056,1781378171,1781378178,1781378412,1781378728,1781378925,1781378960,1781379292,1781379311,1781379338,1781379370,1781379464,1781379547,1781379583,1781379676,1781379689,1781328866,1781329241,1781372991,1781374016,1781375862,1781377413,1781377892,1781378078,1781378126,1781378198,1781378254,1781378569,1781378778,1781378790,1781378930,1781378981,1781379372,1781379439,1781379582,1781391673,1781394591,1781395160,1781371726,1781374155,1781374584,1781376626,1781377330,1781377377,1781377766,1781377868,1781378008,1781378445,1781378799,1781378961,1781379307,1781379330,1781379458,1781379471,1781379571,1781392020,1781393208,1781393889,1781394787,1781394800,1781396798,1781452019,1781328442,1781376050,1781376696,1781378094,1781378286,1781378532,1781378782,1781378952,1781379432,1781379575,1781379699,1781393471,1781394650,1781396233,1781396325,1781396442,1781396710
1428026700	1781399224,1781377911,1781378587,1781378774,1781378950,1781379300,1781379366,1781379568,1781379727,1781393432,1781393888,1781396772,1781396900,1781396968,1781397039,1781397084,1781397277,1781397330,1781397608,1781397653,1781397679,1781397787,1781397975,1781398104,1781398391,1781398574,1781398604,1781398807,1781399022,1781399133,1781399170,1781399220,1781454824,1781377046,1781377986,1781378789,1781379710,1781394491,1781395142,1781395293,1781396009,1781396759,1781397142,1781397634,1781397674,1781397941,1781398206,1781398269,1781398335,1781398508,1781398575,1781398612,1781398632,1781398788,1781398874,1781399225,1781399328,1781399470,1781399580,1781411598,1781411923,1781412235,1781457369,1781376700,1781377103,1781377870,1781378036,1781378216,1781378581,1781378988,1781379463,1781379569,1781394504,1781396717,1781396821,1781396931,1781397125,1781397143,1781397214,1781397728,1781398121,1781398227,1781398261,1781398375,1781398685,1781398859,1781398875,1781399117,1781399245,1781399249,1781399347,1781399486,1781399589,1781409958,1781410371,1781410681,1781457571,1781412958,1781329502,1781377297,1781377538,1781378086,1781379411,1781379694,1781395021,1781396269,1781396441,1781397160,1781397219,1781397472,1781397725,1781397939,1781398090,1781398136,1781398387,1781398600,1781398787,1781398876,1781398974,1781399345,1781399424,1781399484,1781399668,1781412885,1781471280,1781377433,1781398205,1781398769,1781398856,1781399143,1781399148,1781399301,1781399463,1781399565,1781410826,1781414650,1781415369,1781415549,1781415901,1781416105,1781416534
1428027000	1781471653,1781328840,1781378020,1781379614,1781395913,1781396990,1781398093,1781398228,1781399007,1781399342,1781399444,1781399561,1781399610,1781413110,1781415251,1781415293,1781415520,1781418307,1781473142,1781377470,1781379310,1781394452,1781395615,1781395664,1781397636,1781397919,1781398218,1781399288,1781399562,1781399586,1781416499,1781417345,1781417809,1781417908,1781418233,1781418921,1781474396,1781378729,1781397316,1781398520,1781399123,1781399657,1781399697,1781412869,1781414654,1781414957,1781416552,1781417360,1781417426,1781418136,1781418242,1781418324,1781418420,1781418605,1781418705,1781418906,1781474887,1781397506,1781397816,1781399114,1781399340,1781399584,1781399615,1781411720,1781414458,1781416054,1781416536,1781416652,1781417099,1781417144,1781417317,1781417797,1781418067,1781418084,1781418304,1781418361,1781418556,1781418810,1781419031,1781419043,1781419120,1781419149,1781419298,1781419419,1781419579,1781398262,1781398616,1781399376,1781416993,1781417533,1781417544,1781418121,1781418481,1781418546,1781418570,1781418650,1781418833,1781418985,1781419106,1781419162,1781419273,1781419547,1781419597,1781419613,1781419712
1428027300	1781477300,1781379457,1781397587,1781417801,1781418434,1781419131,1781419155,1781419382,1781419611,1781450259,1781479299,1781396431,1781398975,1781399208,1781399706,1781414186,1781418289,1781418610,1781418912,1781419145,1781419311,1781419366,1781419574,1781419666,1781451459,1781451842,1781452231,1781453040,1781453508,1781453613,1781453902,1781398981,1781399464,1781417786,1781417834,1781418090,1781418670,1781419235,1781419375,1781419543,1781419582,1781451617,1781451801,1781452707,1781453603,1781453881,1781454102,1781454292,1781454771,1781454832,1781456236,1781397270,1781397753,1781409894,1781418522,1781418698,1781418815,1781418935,1781419255,1781419605,1781450529,1781450824,1781453445,1781453838,1781454278,1781454692,1781454944,1781455537,1781455643,1781455756,1781455839,1781456107,1781458215,1781494205,1781379301,1781412853,1781417142,1781418409,1781418510,1781451737,1781453320,1781453625,1781454400,1781454776,1781454823,1781455127,1781455582,1781455739,1781455857,1781456073,1781456109,1781456305,1781456337,1781456542,1781456564,1781456826,1781457000,1781457019,1781457142,1781457252,1781457416,1781457527,1781457632,1781457672,1781457969,1781458041,1781458066,1781458092,1781458118
1428027600	1781494986,1781457574,1781398198,1781418490,1781418747,1781419546,1781450802,1781451909,1781453431,1781454803,1781454948,1781455497,1781455620,1781456114,1781456361,1781456805,1781457144,1781457218,1781457275,1781457307,1781457399,1781457558,1781459347,1781398483,1781451514,1781452733,1781453210,1781453610,1781453868,1781455642,1781455767,1781456089,1781456230,1781457081,1781457169,1781457283,1781457351,1781457422,1781457815,1781458070,1781458169,1781458253,1781458641,1781458682,1781458735,1781458827,1781459149,1781459183,1781473280,1781451704,1781455076,1781455865,1781456322,1781456549,1781456769,1781456947,1781456972,1781457022,1781457086,1781457525,1781457637,1781457667,1781457823,1781457908,1781457943,1781458233,1781458441,1781458539,1781458634,1781458707,1781458778,1781459137,1781459208,1781459472,1781459558,1781459713,1781471397,1781472781,1781473255,1781419720,1781453483,1781454249,1781454420,1781454737,1781455575,1781457109,1781457173,1781457290,1781457439,1781457552,1781457773,1781457949,1781458181,1781458198,1781458392,1781458549,1781458591,1781458689,1781458708,1781458762,1781459180,1781459332,1781459401,1781459456,1781459548,1781459594,1781472544,1781474412,1781474740,1781475294,1781475325,1781456145,1781456366,1781456623,1781456787,1781456952,1781457246,1781457361,1781457384,1781457429,1781458029,1781458134,1781458573,1781458712,1781458840,1781459321,1781459382,1781459403,1781459444,1781459541,1781459590,1781459686,1781459730,1781471411,1781472238,1781472397,1781474453,1781474851
1428027900	1781455591,1781455731,1781456965,1781457146,1781457222,1781457268,1781457394,1781457848,1781458301,1781458597,1781458746,1781458768,1781459322,1781473575,1781473968,1781474390,1781474823,1781476519,1781476682,1781452722,1781453586,1781456553,1781456853,1781456963,1781457175,1781457393,1781457528,1781457573,1781458152,1781458409,1781458460,1781458642,1781458841,1781459145,1781459348,1781459450,1781459554,1781473519,1781474377,1781474951,1781475303,1781475809,1781475916,1781475924,1781476252,1781476284,1781478487,1781455831,1781456971,1781457159,1781457371,1781457989,1781458044,1781458446,1781458626,1781459356,1781459406,1781459443,1781469938,1781473699,1781475839,1781475945,1781476409,1781476528,1781476752,1781477082,1781477788,1781477843,1781477951,1781478430,1781525079,1781419122,1781453022,1781453645,1781456313,1781456999,1781458158,1781458425,1781458560,1781458624,1781458777,1781477213,1781477301,1781477725,1781477781,1781477873,1781478584,1781478626,1781478782,1781478857,1781478889,1781479017,1781479120,1781479312,1781479318,1781479368,1781479422,1781479516,1781479558,1781479672,1781479695,1781491035,1781527183,1781455868,1781456148,1781457783,1781458389,1781458451,1781458687,1781459188,1781459464,1781474757,1781474983,1781475547,1781475847,1781476258,1781476981,1781477225,1781477755,1781478260,1781478464,1781478581,1781478636,1781478890,1781479178,1781479378,1781479389,1781479553,1781479678,1781479715,1781490094
1428028200	1781457933,1781458794,1781459162,1781459350,1781474414,1781475804,1781476679,1781477220,1781477826,1781478302,1781478506,1781478605,1781478629,1781478778,1781478819,1781478940,1781478993,1781479114,1781479171,1781479323,1781479405,1781479439,1781479669,1781495368,1781540183,1781418200,1781455815,1781457607,1781458589,1781459379,1781459697,1781477784,1781478785,1781478998,1781479147,1781479244,1781479486,1781479700,1781492628,1781493233,1781494548,1781494742,1781494946,1781495102,1781495226,1781495270,1781542308,1781458155,1781459449,1781459699,1781473687,1781474322,1781475333,1781476068,1781477207,1781478284,1781478475,1781478827,1781479152,1781479285,1781492986,1781495103,1781495569,1781495683,1781495792,1781498040,1781542870,1781454831,1781458149,1781458643,1781474806,1781475268,1781476196,1781477841,1781478797,1781479185,1781479246,1781479381,1781479482,1781479513,1781479536,1781491990,1781494745,1781495537,1781495607,1781495844,1781495957,1781496302,1781496413,1781496844,1781497363,1781497401,1781497932,1781543770,1781498530,1781454892,1781478602,1781479241,1781479431,1781493747,1781494077,1781494921,1781495677,1781496507,1781496648,1781496717,1781497238,1781498200,1781498317
1428028500	1781545145,1781458814,1781459433,1781477883,1781478935,1781479189,1781479727,1781489861,1781494617,1781495660,1781495919,1781496676,1781497887,1781497894,1781498011,1781498232,1781498275,1781498504,1781498644,1781498818,1781499070,1781499581,1781499648,1781546653,1781458815,1781459722,1781476501,1781478635,1781479146,1781494607,1781496667,1781497415,1781497612,1781498112,1781498305,1781498339,1781498821,1781499029,1781499079,1781499656,1781459536,1781478526,1781479256,1781495563,1781496460,1781497604,1781497915,1781498020,1781498249,1781498424,1781498463,1781498586,1781498641,1781498861,1781498910,1781499112,1781499572,1781499607,1781499677,1781520996,1781521431,1781525488,1781548670,1781459328,1781478612,1781478924,1781494577,1781496702,1781497209,1781497373,1781498543,1781498896,1781498920,1781499054,1781499430,1781499669,1781522926,1781522994,1781523112,1781523263,1781523796,1781524030,1781524476,1781524726,1781524842,1781524847,1781524993,1781525057,1781525165,1781525207,1781525418,1781560901,1781476223,1781494125,1781496784,1781496940,1781498119,1781498514,1781498932,1781499372,1781499411,1781522730,1781522903,1781523221
1428028800	1781562629,1781524863,1781494418,1781496943,1781497584,1781499440,1781521345,1781523108,1781524010,1781524187,1781524248,1781526746,1781564068,1781496697,1781498297,1781520449,1781524137,1781524518,1781524766,1781525528,1781525684,1781525801,1781526374,1781526470,1781526655,1781526704,1781565530,1781478630,1781498141,1781498909,1781499107,1781522544,1781524950,1781525051,1781525487,1781525803,1781525855,1781526361,1781526509,1781526663,1781527056,1781527158,1781527235,1781527279,1781527383,1781527489,1781527626,1781527999,1781528105,1781528115,1781528387,1781528410,1781528438,1781528731,1781528930,1781528982,1781566375,1781497858,1781497971,1781498645,1781523510,1781523825,1781524803,1781525399,1781525869,1781526337,1781526480,1781526505,1781526723,1781527042,1781527259,1781527357,1781527517,1781527641,1781527747,1781527794,1781527851,1781527883,1781527901,1781527948,1781528032,1781528075,1781528150,1781528379,1781528651,1781528723,1781528942,1781528988,1781529275,1781529386,1781529517,1781529560,1781529566,1781529587,1781567636,1781496132,1781498309,1781522647,1781523215,1781524482,1781524797,1781525644,1781525748,1781526080,1781526514,1781527044,1781527197,1781527330,1781527364,1781527483,1781527650,1781527723,1781527896,1781527968,1781528349,1781528427,1781528576,1781528593,1781528993,1781529257
1428029100	1781610342,1781479397,1781499417,1781524319,1781526156,1781526359,1781526496,1781526591,1781527350,1781527605,1781527778,1781528403,1781528561,1781528732,1781528766,1781528951,1781528995,1781529407,1781542587,1781610646,1781499610,1781522893,1781525868,1781526460,1781526579,1781526731,1781526970,1781527119,1781527606,1781527645,1781527717,1781527991,1781528407,1781528619,1781528965,1781529296,1781529394,1781529398,1781529422,1781529533,1781529559,1781611911,1781498329,1781524694,1781525755,1781525925,1781526648,1781526912,1781527238,1781527880,1781528399,1781528686,1781528931,1781529251,1781529268,1781543496,1781543635,1781544063,1781544473,1781544672,1781544836,1781546755,1781546801,1781546862,1781547200,1781612951,1781548942,1781524765,1781525788,1781525907,1781526352,1781526667,1781526729,1781527677,1781528142,1781528393,1781529261,1781529388,1781544480,1781545322,1781546669,1781547122,1781547693,1781547824,1781547847,1781548021,1781548104,1781548467,1781548497,1781548664,1781548673,1781548717,1781559941,1781497367,1781525552,1781526529,1781526934,1781527233,1781528033,1781528582,1781528695,1781529584,1781541462,1781543342,1781543813,1781545147,1781545417,1781546757,1781546973,1781547461,1781547604,1781547854,1781548177,1781548261,1781548424,1781548971,1781548998,1781549534,1781549684
